gm_set,gm_id,path,dt,npts,pga_g
P695_FF22_AT2_original,CAP000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/CAP000.AT2,0.005,7991.0,0.528519
P695_FF22_AT2_original,CAP090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/CAP090.AT2,0.005,7991.0,0.443293
P695_FF22_AT2_original,G03-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/G03-UP.AT2,0.005,7989.0,0.338194
P695_FF22_AT2_original,G03000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/G03000.AT2,0.005,7989.0,0.555024
P695_FF22_AT2_original,G03090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/G03090.AT2,0.005,7989.0,0.367362
P695_FF22_AT2_original,HSP-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/HSP-UP.AT2,0.005,11991.0,0.197331
P695_FF22_AT2_original,HSP000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/HSP000.AT2,0.005,11991.0,0.37054
P695_FF22_AT2_original,HSP090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/HSP090.AT2,0.005,11991.0,0.177378
P695_FF22_AT2_original,184-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/184-UP.AT2,0.01,2948.0,0.0773538
P695_FF22_AT2_original,184057,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/184057.AT2,0.01,2950.0,0.13207
P695_FF22_AT2_original,184327,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/184327.AT2,0.01,2949.0,0.208729
P695_FF22_AT2_original,ABBAR--L,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/ABBAR--L.AT2,0.02,2676.0,0.514562
P695_FF22_AT2_original,ABBAR--T,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/ABBAR--T.AT2,0.02,2300.0,0.496352
P695_FF22_AT2_original,ABBAR--V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/ABBAR--V.AT2,0.02,2671.0,0.537831
P695_FF22_AT2_original,LOS-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/LOS-UP.AT2,0.01,1999.0,0.31849
P695_FF22_AT2_original,LOS000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/LOS000.AT2,0.01,1999.0,0.410041
P695_FF22_AT2_original,LOS270,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/LOS270.AT2,0.01,1999.0,0.482002
P695_FF22_AT2_original,MUL-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/MUL-UP.AT2,0.01,2999.0,0.32652
P695_FF22_AT2_original,MUL009,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/MUL009.AT2,0.01,2999.0,0.415783
P695_FF22_AT2_original,MUL279,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/MUL279.AT2,0.01,2999.0,0.516457
P695_FF22_AT2_original,ORR-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/ORR-UP.AT2,0.02,2000.0,0.217264
P695_FF22_AT2_original,ORR090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/ORR090.AT2,0.02,2000.0,0.568322
P695_FF22_AT2_original,ORR360,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/ORR360.AT2,0.02,2000.0,0.51426
P695_FF22_AT2_original,PEL-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SFERN/PEL-UP.AT2,0.01,2800.0,0.135921
P695_FF22_AT2_original,PEL090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SFERN/PEL090.AT2,0.01,2800.0,0.209876
P695_FF22_AT2_original,PEL180,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SFERN/PEL180.AT2,0.01,2800.0,0.174179
P695_FF22_AT2_original,B-ICC-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-ICC-UP.AT2,0.005,8000.0,0.127579
P695_FF22_AT2_original,B-ICC000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-ICC000.AT2,0.005,8000.0,0.357855
P695_FF22_AT2_original,B-ICC090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-ICC090.AT2,0.005,8000.0,0.258332
P695_FF22_AT2_original,B-POE270,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-POE270.AT2,0.01,2230.0,0.446326
P695_FF22_AT2_original,B-POE360,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-POE360.AT2,0.01,2230.0,0.300292
P695_FF22_AT2_original,B-WSM-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-WSM-UP.AT2,0.005,8000.0,0.248836
P695_FF22_AT2_original,B-WSM090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-WSM090.AT2,0.005,8000.0,0.171838
